1451606400,dr5rsr9bg3s5,dr5rsx056num,1.1
1451606400,dr5rsw8ufvg5,dr5rtk5rbgh2,4.9
1451606400,dr5rkmqpeh8e,dr72j1rh9ybb,10.54
1451606400,dr5rshxt71yq,dr5rkcqq4u70,4.75
1451606400,dr72hbp82wcj,dr5rueg7scc8,1.76
1451606400,dr5ru9136qcv,dr5ryh9ydb75,5.52
1451606400,dr5rshz5js22,dr72hce64z55,7.45
1451606401,dr5ru93fd6rx,dr5ru708utgg,1.2
1451606402,dr72j3c346ps,dr72mzke1pzf,6.0
1451606402,dr5rsjs1cs7n,dr5rkpjg5ex3,3.21
1451606403,dr5rgcqk7erk,dr5ru0z25dcg,0.79
1451606403,dr5ruuc0vdq1,dr5ru1mbrqyv,2.43
1451606403,dr5rsm4u4ugp,dr5rsm4vh6be,0.01
1451606404,dr5rgbzsyb0j,dr5refmrp6yg,3.7
1451606405,dr5rsk8dvt0k,dr5rgbrp7kh4,2.2
1451606405,dr5rumv8kg3s,dr5ruk3yqc0p,0.54
1451606405,dr72hdw6nn3k,dr5ruwd8g429,1.92
1451606406,dr5ruqzcu46c,dr72hfb401mt,1.7
1451606406,dr5rshwd7nnr,dr5rsr6q0dc5,1.38
1451606407,dr5rmhjh1rvd,dr5rs7hs7uv1,4.9
1451606407,dr5rsq49x6qz,dr5reggyqp9k,1.8
1451606408,dr5rshgs0wqu,dr5ruew0pjew,3.09
